date,total_clones,unique_clones
2022-10-19,3,3
2022-10-20,4,4
2022-10-21,3,3
2022-10-22,3,3
2022-10-23,3,3
2022-10-24,2,2
2022-10-25,4,3
2022-10-26,4,4
2022-10-27,3,3
2022-10-28,2,2
2022-10-29,5,5
2022-10-30,4,4
2022-10-31,2,2
2022-11-01,2,2
2022-11-02,2,2
2022-11-03,3,3
2022-11-04,3,3
2022-11-05,2,2
2022-11-06,2,2
2022-11-07,2,2
2022-11-08,2,2
2022-11-09,2,2
2022-11-10,1,1
